id,played_first,moves,winner
535,1,"0,4,5,4,3,4,4,4,6,4,3,2,5,2,3,2,2,2,3",1
536,-1,"3,6,4,3,4,5,4,4,4,3,4,0,6,0,6,0,5,0",1
537,-1,"3,6,4,3,4,5,4,4,4,2,3,3,3,3,2,0,2,0,6,0,2,0",1
538,-1,"3,6,4,4,4,5,4,4,4,0,5,0,6,0,5,0",1
539,-1,"3,1,4,2,5,1,6",-1
540,1,"3,2,2,4,5,4,3,4,4,4,0,4,0,6,0,5,0",1
541,-1,"3,6,4,3,4,0,4,4,4,3,4,5,6,6,6,1,5,1,5",-1
542,1,"1,4,4,4,1,5,1,5,1",1
543,-1,"3,0,4,2,4,0,6,5,6,0,5,3,5,0",1
544,-1,"3,1,4,1,5,6,2",-1
545,1,"0,4,1,4,2,4,4,4,6,4,5,6,5,6,6,6,6,5,5,2,5,5,1,2,0,2,1,2",-1
546,1,"0,4,6,4,2,4,0,4",-1
547,1,"6,4,5,4,4,4,5,4,3,2,3,2,2,2,1,4,1,2,1,6,3",1
548,-1,"3,6,4,3,4,5,4,4,4,5,4,5,5,6,5,3,6,3,3,2,3",-1
549,1,"0,4,0,6,5,6,3,6,6,6,0,3,0",1
550,-1,"3,0,4,0,6,5,6,2,6,6,6,6,3,0,5,0",1
551,-1,"3,0,4,0,6,5,6,6,6,5,5,4,5,0,5,0",1
552,1,"6,4,5,4,4,4,5,4,3,2,3,2,3,2,2,2,0,6,0,6,0,2,0",1
553,1,"0,4,4,4,4,4,4,5,5,5,5,5,5,6,3,6,6,6,6,6,3,2,1,2,0,2,2,3",-1
554,1,"2,4,5,5,5,5,5,5,6,4,6,4,4,4,4,3,0,6,0,3,0,2",-1
555,-1,"3,6,4,4,4,2,3,0,4,0,6,0,5,0",1
556,1,"6,4,3,2,2,4,1,4,4,4,3,4,3",1
557,-1,"3,0,4,0,6,5,6,6,6,6,6,5,2,1,5,5,4",-1
558,1,"3,2,2,4,1,4,1,4,4,4,1,4,0,6,0,6,0,5,0",1
559,1,"3,2,2,4,1,4,1,4,4,4,5,4,5,5,5,5,5,6,6,6,6,6,6,3,3",1
560,-1,"3,3,5,2,3,4,3,2,3,3,4,2,2",-1
561,1,"3,2,2,4,1,4,1,4,1,4",-1
562,1,"6,4,5,4,4,4,5,4,4,2,3,2,2,2,2,2,1,3,1,3,1,3,1",1
563,-1,"3,6,4,5,4,6,4,4,4,5,4,5,5,3,3,2,3,2,3,3,6,5,5,2,2,2,2,6,6,6,0,1,0,1,1",-1
564,1,"6,4,6,4,6,4,4,4,1,4,1,6,1,5,0,5,0,5,1",1
565,-1,"3,0,4,4,4,4,4,3,5,6,2",-1
566,1,"1,4,1,4,5,4,4,4,5,4,3,5,5,2,5,5,6,2,6,2,2,2,3,3",-1
567,-1,"3,0,4,6,4,4,4,5,4,4,6,6,6,0,5,3,5",-1
568,1,"6,4,3,2,2,4,0,4,4,4,0,4,0,5,0",1
569,-1,"3,5,4,4,4,5,4,4,5,4,3,3,3,3,3,2,5,2,5,5,6,6,6,6,6",-1
570,1,"0,4,0,6,5,6,5,6,6,6,6,4,0,5,0",1
571,1,"5,4,2,5,3,2,2,2,2,2,0,6,0,6,0,5,0",1
572,-1,"3,4,4,1,4,1,5,1,5,1",1
573,1,"6,4,0,4,5,4,4,4,5,4,0,6,0,5,0",1
574,-1,"3,6,4,4,4,3,5,2,5,5,5,0,6,6,6,0,5,0,5,0",1
575,-1,"3,0,4,0,6,5,6,2,6,6,6,6,5,5,5,5,5,0,3,0",1
576,-1,"3,6,4,5,4,4,4,3,4,2,6,1,6,0,2,0,2,0,2,0",1
577,-1,"3,0,4,1,4,2,4,4,4,3,5,6,4,5,6,6,6,6,5",-1
578,1,"6,4,3,2,5,4,2,4,4,4,0,4,0,6,0,5,3,5,0",1
579,-1,"3,0,4,2,4,1,4,4,4,6,4,5,5,3,5,5,5,6,6,6,3",-1
580,1,"0,4,4,4,4,4,4,5,5,5,3,2,3,2,3,2,1,2",-1
581,1,"0,4,6,4,5,4,4,4,3,4,2,2,1",1
583,1,"3,2,4,4,1,4,3,5,3,4,3",1
584,-1,"3,6,4,0,4,5,4,4,4,3,4,2,5,1,5,6,6,6,3",-1
585,1,"0,4,0,6,5,6,1,6,6,6,6,5,5,5,5,5,4,4,2,4,3",1
